SKU ID,Color Code,Size Code,Size,Stock
03057040,801,03,M,3
02969255,800,03,M,3
08902436,800,02,S,3
01478326,401,02,S,3
08922366,829,01,XS,4
08922366,829,02,S,3
09121262,800,03,M,3
05039265,120,02,S,3
05039265,120,03,M,3
05039265,120,04,L,5
03067251,642,03,M,7
05063848,717,02,S,6
05063848,717,03,M,5
04938113,084,03,M,7
05039813,051,02,S,7
05039813,051,03,M,8
08314476,120,02,S,4
08314476,120,03,M,3
05644940,500,02,S,8
05644940,500,03,M,4
01889157,427,02,S,9
01889157,427,03,M,3
04764264,926,02,S,3
04764264,926,03,M,3
04772268,409,03,M,3
09128560,605,04,L,3
09878160,600,02,S,3
05536207,898,01,XS,3
09860188,800,01,XS,4
09860188,800,02,S,3
03372153,748,02,S,4
09063587,804,01,XS,3
09063587,804,04,L,3
09363307,401,03,M,3
00264530,800,02,S,3
05063822,808,03,M,3
08625548,800,03,M,3
02142210,620,01,XS,3
02298183,330,02,S,3
04772244,800,01,XS,4
04772244,800,02,S,4
00264533,800,03,M,3
00264534,800,02,S,8
00264534,800,03,M,4
09482262,800,02,S,3
01165538,800,02,S,3
09895631,800,02,S,3
09895631,800,03,M,3
09903743,800,02,S,3
09598229,700,02,S,4
03897160,800,03,M,4
07969228,800,04,L,3
08462896,515,01,XS,4
03641841,250,02,S,4
01131828,800,03,M,3
01937801,712,02,S,3
00085844,020,02,S,3
05039261,051,02,S,6
03920174,505,02,S,4
03920174,505,03,M,3
05039407,085,02,S,3
03920480,700,02,S,4
04764116,811,01,XS,3
03920198,800,02,S,14
03920198,800,03,M,13
03920198,800,04,L,5
03991101,250,02,S,4
05157301,300,03,M,4
03991040,712,03,M,6
05536101,081,02,S,3
05536101,081,03,M,4
05644808,712,02,S,5
04813823,717,02,S,4
05536211,073,02,S,3
03920480,700,02,S,4
00234102,712,02,S,3
00234102,712,03,M,3
00234102,712,04,L,3
09598169,711,04,L,3
04192143,800,03,M,3
05536124,518,03,M,3
04331101,712,02,S,3
00014110,712,02,S,4
08146005,800,02,S,5
05029161,330,01,XS,3
05029161,330,03,M,4
03666168,047,01,XS,4
08738501,062,01,XS,3
08738501,062,02,S,4
08738501,062,03,M,4
03897068,712,03,M,6
04786259,250,03,M,3
04786259,250,04,L,3
05039407,085,02,S,3
09030213,330,03,M,3
09030213,330,04,L,3
08790151,051,02,S,4
08790151,051,03,M,4
08790151,051,04,L,3
08876019,800,02,S,3
05235241,712,02,S,3
05235241,712,05,XL,3
04387283,800,01,XS,3
08953092,712,04,L,4
03666162,800,04,L,3
08372495,712,03,M,5
00881111,712,04,L,5
00028572,251,03,M,3
08363691,044,03,M,3
00881110,250,01,XS,3
00881110,250,02,S,3
09113199,330,01,XS,6
09113199,330,02,S,7
09113199,330,03,M,10
09113199,330,04,L,4
08741231,800,03,M,4
08372293,018,02,S,3
08351227,712,01,XS,4
08351227,712,02,S,4
08351227,712,03,M,5
02587159,330,02,S,4
02587159,330,03,M,3
00881109,030,01,XS,3
00027572,800,01,XS,4
00027572,800,03,M,4
05584345,819,02,S,4
01822110,800,02,S,4
03641802,051,02,S,5
05584651,800,02,S,3
05427534,809,01,XS,4
08581187,330,02,S,4
08567308,600,03,M,3
08567308,600,04,L,3
01300816,063,03,M,3
01300818,700,02,S,3
01300818,700,03,M,5
02569203,405,34,EU 34 (UK 6),5
08242603,401,02,S,3
06929503,112,02,S,3
09379597,800,01,XS,3
00858820,700,02,S,4
01165827,807,02,S,3
00085879,250,02,S,5
00085819,250,02,S,3
05644846,250,02,S,3
00085474,250,02,S,5
00085641,250,02,S,7
04174835,250,02,S,3
00264856,803,02,S,4
01165475,250,02,S,3
01300815,309,02,S,3
01131998,811,02,S,3
04770640,250,02,S,4
01165675,250,02,S,4
05644811,962,02,S,4
05070636,250,02,S,13
05070636,250,03,M,4
05644825,250,03,M,3
05644644,250,03,M,4
00085636,250,02,S,11
05644645,250,03,M,4
00085834,803,02,S,3
00085834,803,03,M,3
03039455,251,02,S,3
00085634,250,02,S,3
05644646,250,02,S,3
00085816,620,02,S,6
05862164,038,34,EU 34 (UK 6),4
06840242,800,38,EU 38 (UK 10),3
01889159,407,03,M,3
01889159,407,04,L,3
06164162,407,34,EU 34 (UK 6),4
06164162,407,38,EU 38 (UK 10),3
01889159,407,03,M,3
01889159,407,04,L,3
01889159,407,03,M,3
01889159,407,04,L,3
05862164,038,34,EU 34 (UK 6),4
01889159,407,03,M,3
01889159,407,04,L,3
06164162,407,34,EU 34 (UK 6),4
06164162,407,38,EU 38 (UK 10),3
01889159,407,03,M,3
01889159,407,04,L,3
01889159,407,03,M,3
01889159,407,04,L,3
08580388,711,03,M,5
04387026,800,03,M,3
01478262,104,04,L,3
08200202,330,04,L,3
01608234,485,03,M,3
01165515,445,02,S,5
08580388,711,03,M,5
08097502,711,02,S,4
06050837,051,02,S,3
00779159,505,04,L,3
04387121,052,02,S,3
04387121,052,03,M,6
04387121,052,04,L,7
03564182,070,01,XS,3
04387241,712,02,S,3
04786290,401,02,S,3
04174825,119,02,S,3
01165497,250,03,M,3
05584812,712,02,S,3
05584812,712,03,M,4
00264858,251,02,S,3
